,label,score
360,"a star. Our planet, Earth, orbits, or circles, the sun. The sun gives us light and heat. Plants and animals need light and heat to live and grow. All the other planets go around the sun, too, but Earth is the only planet where we can live. The sun gives ",1
342,"Adam, We did not have plastic toys. I played with wooden when I was young like you. Yes, Adam, I was happy when I was young like you. Great Grandma, Did you watch long ago Did you watch when you were young like me Great Grandma, ",1
345,"Who said the little owl. Who wants to hunt with me Who wants to read with me Who wants to sleep with me Who wants to fly with me Who wants to play with me Who wants to sing with me I do, said the big alligator. No ",1
223,"dead leaf. This is a mole. Moles burrow underground to find and eat earthworms. A mole dig many tunnels. Moles have tiny eyes, but they are not blind. These are army worms. Army worms are the larval stage of the armyworm fly. These worms sometimes form into very ",1
347,ereaddatagradepsenvironcomp.html Environment reading comprehension sheet grade Name Image credit Images are from Art Today Circle animals that live in water Circle Animals that live on land. Draw and color an environment for this animal. An environment is all of the things that are in a place where an animal lives ,1
240,You close the door. I open the window. You close the window. I open the drawer. You close the drawer. I open the box. You close the box. I open the book. You close the book. I open the jar. You close the jar. ,1
114,is a skyscraper. Office workers come here to work. What is this place It is a parking garage. People come here to park their cars. What is this place It is a park. People come here to have fun. What is this place It is a Zoo. People come ere ,1
358,"takes off his clothes. Plop, plop. Ben gets ready for bed. He brushes his teeth. Brush, brush. Ben gets ready for bed. He puts on his pajamas. Wiggle, wiggle. It is getting late, says Ben dad. Get ready for bed. Okay, Ill get ready, says Ben. Ben gets ready for ",1
107,firemen hurried to put out the fire. Where is the young man who called us the Fire Chief asked. Joey and his mommy were watching from the front window. The Fire Chief came up their sidewalk and rang the doorbell. Are you the young man who called the Fire Department ,1
362,"ran into a ditch, hoping not to get caught. But the dog followed after. The ditch stopped him not. The dog chased the cat through a field of flowers. They ran and they ran for hours and hours. The cat leapt over a wall with a dash. But over the ",1
245,change from time to time. Sometimes I feel very happy. Sometimes I feel very sad. Sometimes I feel very angry. Sometimes I feel very scared. Sometimes I feel kind of happy. Sometimes I feel kind of sad. Sometimes I feel kind of scared. I have many different feelings. Do ,1
367,"fishing, fun, and sport. Many boats that carry one or tow people still Use paddle and oars. Tugboats push and pull larger ships. Lightships carry a bright light, like a large flashlight. Fire boats put out fires on other ships. The fist boats were carved from single logs. ",1
369,"Well, why do you have a sack on your head I don' want anyone to see me. I' covered with soot said Ducky. Why don' you just take a bath asked Tommy. I'll take one, too Just like that the two friends sudsed up and splashed and had a very ",1
97,"paper pieces of construction paper for a book cover and a book back pencils, crayons, or markers a stapler a book with pictures of pet animals . Follow these directions Draw and color a picture of one pet animal on each piece of drawing paper. Write one sentence about each ",1
376,"I better go find Pig, Duck, and Goat, she said. The cow began to run toward the barn. She ran down the hill. The cow reached the barn. She could see it was a very big barn. I think I will go to the barn, he said. The ",1
227,"is missing, and I am worried. No, I have not, says Mrs. Rabbit. Mother Bear hears a bee buzzing. Have you seen my cub she asks. She looks for her cup in the cave. She cannot fine him. Mother Bear goes to Doris Deer. Have you seen ",1
88,"paper pieces of construction paper for a book cover and a book back pencils, crayons, or markers a stapler a book with pictures of insects . Follow these directions Draw and color a picture of one insect on each piece of drawing paper. Write one sentence about each animal. ",1
387,"voice, Jackal, you have done well. You have brought us the leopard to eat. You are just in time. My child is crying for food. Leopard was a little afraid of him. He went to Ram and said meekly, Good day, friend. Who might you be I am Ram, said ",1
393,vases are left There are seats on the train. men ride on the train. How many men have to stand whales swim in the sea. whales are black. The rest of the whales are white. How many whales are white ,1
395,"ereaddatareading-a-z-extractgraderazlainout.htm In and Out In and Out The dogs go in. The dogs go out. The cats go in. The cats go out. The cows go in. The cows go out. The pigs go in. Oh boy, mud. ",1
77,"paper pieces of construction paper for a book cover and a book back pencils, crayons, or markers a stapler a book with pictures of wild animals . Follow these directions Draw and color a picture of one wild animal on each piece of drawing paper. Write one sentence about each ",1
399,Some people live deep below the water. Some people live I houses that move. Some houses are on wheels. And some float on the water. They live where it is dry. They live where it is wet. Some people live down low. Some people even live below ,1
400,ereaddatareading-a-z-extractgraderazlbpicnic.htm The Picnic The Picnic Ted and Peg go on a picnic. Peg gets a picnic basket. Peg puts in sandwiches. Peg puts in soda pop. Peg puts in cookies. Ted puts in cheese. Ted puts in chips. Ted puts in apples. Who put the mouse in the basket ,1
402,"was sure he would win the weightlifting event. Bongo was very worried. There was only one event left. He had to win it to get a gold medal. He wasn sure if he could win the next event, gymnastics. He worried that the other animals were better gymnasts. ",1
68,"paper pieces of construction paper for a book cover and a book back pencils, crayons, or markers a stapler a book with pictures of farm animals . Follow these directions Draw and color a picture of one farm animal on each piece of drawing paper. Write one sentence about each ",1
408,"plant uses sunshine to make food. The rain and the soil feed the small plant. The big plant grows flowers. The flowers make seeds. The seed is buried in the soft soil, and the rain falls. The small seed soaks up water from the rain. The leaves and ",1
337,"The clouds move over the house, and lightning flashes all around. Thunder crashes loudly, and the rain begins to fall. Then the rain stops falling, and the winds stop blowing. Tim and Pam run into the house. The strong winds begin to blow. The sky gets darker, and the clouds ",1
411,"mud. I like to eat frogs, shellfish, seaweed, and small fish. I am a groove billed barbet. I have a large, thick beak. I have tooth like ridges in my lower beak. I feed on fruit and insects. I am a crowned hornbill. I live in the rain forest. I ",1
333,ereaddatareading-a-z-extractgraderazlbgames.htm Vegetables The Sandwich Let make a sandwich. Put some butter on the bread. Put some tomatoes on the lettuce. Put some bread on the meat. Get some bread. Put some lettuce on the butter. Put some meat on the tomatoes. Now take a big bite. Yummy ,1
327,"clay. I like to play ice hockey. My dad and his friends hunt for caribou. I like caribou meat with ketchup. I am Chang Yang, and I am ten. My family lives in a city apartment in South Korea. I like to study Science in school. Jessica ",1
261,We go to the balloon shop. We get balloons. We go tot the ice cream shop. We get ice cream. We go to the birthday party. We play games. We go to the card shop. We get a card. We go to the bakery. We get a cake. We go ,1
205,your school. Let your teacher help you. Write what you like best about your school in the box below. Click on the send button. We will get your note. We will put some notes here for you to read. Be sure to follow the safety rules for writing about yourself ,1
256,child should be asked to leave the room. join the fun. watch as other students play. play a different game. The student joins in the game because the teacher tells him to play. he wants to have fun. the other students are interested. he wants to watch other students. A ,1
267,"pop. Then we put it on a tray. I help decorate the tray with a flower and a card. Done, done, done. Dad and I wake up early. Dad and I sneak downstairs. Quietly, quietly, quietly. Then we make her bacon. I help lay the bacon in ",1
271,bees buzzing. I use my fingers to touch. I touch the fuzzy caterpiller. I like to go to my garden. I use my five senses. I use them to see and hear. I use my eyes to see. I see birds and bees. I use my nose to smell. I ,1
198,"is getting darker. I eat dinner with my family. Night comes after the sun has set. The sky is dark. The moon and stars are out. I get into bed, and Dad reads me a story. I get up, wash my face, brush my hair, and get dressed. I eat ",1
277,"I can. Can you help pull the weeds Yes, I can. Can you help carry the groceries Yes, I can. Can you help feed the chickens Yes, I can. Can you help wash the dishes Yes, I can. Can you help make the bed Yes, I can. Can you help ",1
193,float in the sea The eight armed octopus moves in the sea. Does anything else move in the sea Crabs and lobsters crawl in the sea. Does anything else crawl in the sea The hungry shark hunts in the sea. Does anything else hunt in the sea Schools of fish ,1
284,"to keep us safe. Some cowboys wear glasses. Glasses help them see better to round up cattle. Lots of people wear glasses. Glasses help them see better. They don look silly. They don look funny. They look... ...just like.... She said, Lots of people wear glasses. They don look silly. ",1
185,"Bones come in many shapes and sizes. Your arms and legs are long bones. Your pelvis and shoulder blades are flat bones. The bones in your wrists, hands, ankles, and feet are small. Other animals have skeletons, too. Each animal skeleton is different. Some are short, some are ",1
290,is the weather today The weatherman says it will snow. I will make a snowman. I want to know if the wind will blow. I want to know if it will rain. I want to know if it will snow. Summer How is the weather today The ,1
294,"plane replied Anthony. We're going to the airport after school. Well, that explains it said the teacher, smiling. The rest of the day dragged on. At Mommy and Daddy came to go get Anthony. Are you ready to go to the airport, Anthony Daddy asked. I sure am Let' go ",1
179,Jimmy and Carla are best friends. Jimmy and Carla are in the same class. Jimmy does not like tuna sandwiches. Jimmy made himself a ham sandwich and carried it to school in a plain brown bag. He put the bag on the shelf above the sink in the back of ,1
297,"Deer. The sky is falling, says Squirrel. Mouse runs to tell wise old Owl. The sky is falling, says mouse. No it is not, says wise old Owl. Rabbit runs to tell Fox. The sky is falling, says Rabbit. Bear runs to tell Squirrel. The sky is ",1
173,get on a plane. We can fly away. We can get in a balloon. We can float away. We can get in a rocket. We can zoom away. We can get in a boat. We can sail away. We can get on a bike. We can pedal away. We can ,1
304,from milk. Milk comes from cows. Where does orange juice come from Orange juice comes from oranges. Oranges grow on orange trees. Where do bagels come from Bagels come from wheat. Wheat grows from the seeds of a wheat plant. Where do French fries come from French fries are made ,1
163,us about children playing. They warn us about animals on the road. People make signs for lots of things. They make signs for sales. The make signs for lost animals. Signs are in windows and on doors. They hang above streets. Where else do you see signs Signs tell us ,1
311,ereaddatareading-a-z-extractgraderazlbwhere.htm Vegetables Where Where asked the little brown bear. Where is my father Where is my bed Where am I Where is my mother Where is my house Where is my honey I am lost. Can you help me ,1
155,"Every country has a flag. A flag stands for a country and the people who live there. What do you know about flags Click on one of the choices to find out more. What' So Great About a Flag, Anyway All Kinds of Flags ",1
151,ereaddatareading-a-z-extractgraderazlaruns.htm He runs He runs He runs to the bus. He runs to the train. He runs to the boat. He runs to the plane. He runs to the school. He runs to the store. He runs to the pool. He runs home. ,1
250,"animals, how do they move These animals move in the trees. They have long arms for swinging. Can you name them Animals, animals, how do they move These animals move on land. They have strong legs for running. Can you name them Animals, animals, how do they move These animals ",1
318,"ereaddatareading-a-z-extractgraderazlbpuppy.htm Playful Puppy Playful Puppy. Puppy sees a little mouse. Puppy sees a little frog. Puppy sees a little turtle. Puppy sees a little ball. Let it be, Puppy. Let it be, Puppy. Let it be, Puppy. Get the ball, Puppy. ",1
142,Games We Play We like to play tag. We like to play soccer. We like to play house. We like to play video games. We like to play baseball. We like to play dress up. We like to play hide and seek. But we do not play with ,1
324,"get shorter, and the nights get longer. I wear my sweater. The weather has changed with each season. It got warmer and warmer. The days got longer and longer. Then it got cooler and cooler. The days got shorter and shorter. We start with spring. Then comes summer. Then comes ",1
220,"castle. He made a cape to be brave in. He made shields and swords and suits of armor. He drew pictures. He played house. He read stories. He played by himself for one whole hour, and then he didn' know what to do. So, Franklin went looking for company. His ",1
133,"and sharp, smelly cheese. And they ate with a funny shaped spoon. They took some honey and plenty of money wrapped in a five dollar note. Oh, lovely Kitty, oh Kitty, my love. What a beautiful Kitty you are. You are. You are. What a beautiful Kitty you are. Then ",1
59,will need scissors and paste to do this work. A. Print this page and let the ink dry. . Look at the pictures at the bottom of this page. . Cut out the pictures and paste them beside the sentence that tells about the picture. . Do it all by ,1
